Bandit,Reward,Algorithm
2,3.2670374654413625,Thompson
2,3.8787260127650756,Thompson
2,2.463726256327928,Thompson
2,1.153581701350581,Thompson
2,2.295927615304377,Thompson
2,0.17488809415870188,Thompson
2,2.2628832161393593,Thompson
2,2.612943273207776,Thompson
2,2.247008828161112,Thompson
2,2.5109554323414964,Thompson
2,4.72079469764311,Thompson
2,1.8897670718458597,Thompson
2,1.6005309371206482,Thompson
2,3.055054939440369,Thompson
2,3.863981868296334,Thompson
2,1.7802609042257993,Thompson
2,1.5242611413140634,Thompson
2,2.181898786588444,Thompson
2,1.5156966054230328,Thompson
2,3.4736199379430537,Thompson
2,4.117012450617674,Thompson
2,2.0793931510815016,Thompson
2,2.980953501125773,Thompson
2,0.8301881289458857,Thompson
2,1.5531804876594484,Thompson
